YIELD_name	plantID	plantName
100_005_250201_001_00458_103_001_1004	T1_S2_KS0301	T1_S2_KS0301
100_005_250201_001_00459_103_001_1004	T1_S3_KS0302	T1_S3_KS0302
100_005_250201_001_00460_103_001_1004	ED1_p1b1C1	ED1_p1b1C1
100_005_250201_001_00461_103_001_1004	T1_S2_KS0304	T1_S2_KS0304
100_005_250201_001_00462_103_001_1004	T1_S2_KS0305	T1_S2_KS0305
100_005_250201_001_00463_103_001_1004	ED4_p1b1F1	ED4_p1b1F1
100_005_250201_001_00464_103_001_1004	T1_S2_KS0307	T1_S2_KS0307
100_005_250201_001_00465_103_001_1004	T1_S2_KS0308	T1_S2_KS0308
100_005_250201_001_00466_103_001_1004	T1_S2_KS0309	T1_S2_KS0309
100_005_250201_001_00467_103_001_1004	T1_S2_KS0310	T1_S2_KS0310
100_005_250201_001_00468_103_001_1004	ED1_p1b1C2	ED1_p1b1C2
100_005_250201_001_00469_103_001_1004	ED4_p1b1D2	ED4_p1b1D2
100_005_250201_001_00470_103_001_1004	T1_S3_KS0313	T1_S3_KS0313
100_005_250201_001_00471_103_001_1004	T1_S2_KS0314	T1_S2_KS0314
100_005_250201_001_00472_103_001_1004	T1_S2_KS0315	T1_S2_KS0315
100_005_250201_001_00473_103_001_1004	T1_S2_KS0316	T1_S2_KS0316
100_005_250201_001_00474_103_001_1004	T1_S3_KS0317	T1_S3_KS0317
100_005_250201_001_00475_103_001_1004	T1_S2_KS0318	T1_S2_KS0318
100_005_250201_001_00476_103_001_1004	ED1_p1b1C3	ED1_p1b1C3
100_005_250201_001_00477_103_001_1004	T1_S2_KS0320	T1_S2_KS0320
100_005_250201_001_00478_103_001_1004	T1_S2_KS0321	T1_S2_KS0321
100_005_250201_001_00479_103_001_1004	T1_S3_KS0322	T1_S3_KS0322
100_005_250201_001_00480_103_001_1004	T1_S3_KS0323	T1_S3_KS0323
100_005_250201_001_00481_103_001_1004	ED4_p1b1H3	ED4_p1b1H3
100_005_250201_001_00482_103_001_1004	T1_S2_KS0325	T1_S2_KS0325
100_005_250201_001_00483_103_001_1004	T1_S2_KS0326	T1_S2_KS0326
100_005_250201_001_00484_103_001_1004	T1_S2_KS0327	T1_S2_KS0327
100_005_250201_001_00485_103_001_1004	ED4_p1b1D4	ED4_p1b1D4
100_005_250201_001_00486_103_001_1004	T1_S2_KS0329	T1_S2_KS0329
100_005_250201_001_00487_103_001_1004	T1_S3_KS0330	T1_S3_KS0330
100_005_250201_001_00488_103_001_1004	ED1_p1b1G4	ED1_p1b1G4
100_005_250201_001_00489_103_001_1004	T1_S2_KS0332	T1_S2_KS0332
100_005_250201_001_00490_103_001_1004	T1_S2_KS0333	T1_S2_KS0333
100_005_250201_001_00491_103_001_1004	T1_S2_KS0334	T1_S2_KS0334
100_005_250201_001_00492_103_001_1004	T1_S2_KS0335	T1_S2_KS0335
100_005_250201_001_00493_103_001_1004	T1_S2_KS0336	T1_S2_KS0336
100_005_250201_001_00494_103_001_1004	T1_S2_KS0337	T1_S2_KS0337
100_005_250201_001_00495_103_001_1004	ED1_p1b1F5	ED1_p1b1F5
100_005_250201_001_00496_103_001_1004	T1_S2_KS0339	T1_S2_KS0339
100_005_250201_001_00497_103_001_1004	T1_S2_KS0340	T1_S2_KS0340
100_005_250201_001_00498_103_001_1004	T1_S3_KS0341	T1_S3_KS0341
100_005_250201_001_00499_103_001_1004	T1_S2_KS0342	T1_S2_KS0342
100_005_250201_001_00500_103_001_1004	ED1_p1b1C6	ED1_p1b1C6
100_005_250201_001_00501_103_001_1004	ED4_p1b1D6	ED4_p1b1D6
100_005_250201_001_00502_103_001_1004	T1_S2_KS0345	T1_S2_KS0345
100_005_250201_001_00503_103_001_1004	T1_S2_KS0346	T1_S2_KS0346
100_005_250201_001_00504_103_001_1004	T1_S2_KS0347	T1_S2_KS0347
100_005_250201_001_00505_103_001_1004	ED4_p1b1H6	ED4_p1b1H6
100_005_250201_001_00506_103_001_1004	ED1_p1b1A7	ED1_p1b1A7
100_005_250201_001_00507_103_001_1004	T1_S2_KS0350	T1_S2_KS0350
100_005_250201_001_00508_103_001_1004	T1_S3_KS0351	T1_S3_KS0351
100_005_250201_001_00509_103_001_1004	T1_S2_KS0352	T1_S2_KS0352
100_005_250201_001_00510_103_001_1004	ED1_p1b1E7	ED1_p1b1E7
100_005_250201_001_00511_103_001_1004	T1_S2_KS0354	T1_S2_KS0354
100_005_250201_001_00512_103_001_1004	T1_S2_KS0355	T1_S2_KS0355
100_005_250201_001_00513_103_001_1004	ED1_p1b1H7	ED1_p1b1H7
100_005_250201_001_00514_103_001_1004	T1_S2_KS0357	T1_S2_KS0357
100_005_250201_001_00515_103_001_1004	T1_S3_KS0358	T1_S3_KS0358
100_005_250201_001_00516_103_001_1004	T1_S2_KS0359	T1_S2_KS0359
100_005_250201_001_00517_103_001_1004	T1_S2_KS0360	T1_S2_KS0360
100_005_250201_001_00518_103_001_1004	T1_S2_KS0361	T1_S2_KS0361
100_005_250201_001_00519_103_001_1004	T1_S2_KS0362	T1_S2_KS0362
100_005_250201_001_00520_103_001_1004	ED4_p1b1G8	ED4_p1b1G8
100_005_250201_001_00521_103_001_1004	ED1_p1b1H8	ED1_p1b1H8
100_005_250201_001_00522_103_001_1004	T1_S2_KS0365	T1_S2_KS0365
100_005_250201_001_00523_103_001_1004	T1_S2_KS0366	T1_S2_KS0366
100_005_250201_001_00524_103_001_1004	ED4_p1b1C9	ED4_p1b1C9
100_005_250201_001_00525_103_001_1004	T1_S2_KS0368	T1_S2_KS0368
100_005_250201_001_00526_103_001_1004	T1_S2_KS0369	T1_S2_KS0369
100_005_250201_001_00527_103_001_1004	T1_S2_KS0370	T1_S2_KS0370
100_005_250201_001_00528_103_001_1004	T1_S3_KS0371	T1_S3_KS0371
100_005_250201_001_00529_103_001_1004	T1_S2_KS0372	T1_S2_KS0372
100_005_250201_001_00530_103_001_1004	ED1_p1b1A10	ED1_p1b1A10
100_005_250201_001_00531_103_001_1004	T1_S2_KS0374	T1_S2_KS0374
100_005_250201_001_00532_103_001_1004	ED1_p1b1C10	ED1_p1b1C10
100_005_250201_001_00533_103_001_1004	T1_S2_KS0376	T1_S2_KS0376
100_005_250201_001_00534_103_001_1004	T1_S3_KS0377	T1_S3_KS0377
100_005_250201_001_00535_103_001_1004	ED1_p1b1F10	ED1_p1b1F10
100_005_250201_001_00536_103_001_1004	T1_S2_KS0379	T1_S2_KS0379
100_005_250201_001_00537_103_001_1004	T1_S2_KS0380	T1_S2_KS0380
100_005_250201_001_00538_103_001_1004	T1_S3_KS0381	T1_S3_KS0381
100_005_250201_001_00539_103_001_1004	T1_S2_KS0382	T1_S2_KS0382
100_005_250201_001_00540_103_001_1004	ED1_p1b1C11	ED1_p1b1C11
100_005_250201_001_00541_103_001_1004	T1_S2_KS0384	T1_S2_KS0384
100_005_250201_001_00542_103_001_1004	T1_S2_KS0385	T1_S2_KS0385
100_005_250201_001_00543_103_001_1004	T1_S2_KS0386	T1_S2_KS0386
100_005_250201_001_00544_103_001_1004	T1_S3_KS0387	T1_S3_KS0387
100_005_250201_001_00545_103_001_1004	ED1_p1b1H11	ED1_p1b1H11
100_005_250201_001_00546_103_001_1004	T1_S2_KS0389	T1_S2_KS0389
100_005_250201_001_00547_103_001_1004	T1_S2_KS0390	T1_S2_KS0390
100_005_250201_001_00548_103_001_1004	T1_S2_KS0391	T1_S2_KS0391
100_005_250201_001_00549_103_001_1004	T1_S2_KS0392	T1_S2_KS0392
100_005_250201_001_00550_103_001_1004	ED4_p1b1E12	ED4_p1b1E12
100_005_250201_001_00551_103_001_1004	T1_S2_KS0394	T1_S2_KS0394
100_005_250201_001_00552_103_001_1004	T1_S3_KS0395	T1_S3_KS0395
100_005_250201_001_00553_103_001_1004	T1_S2_KS0396	T1_S2_KS0396
100_005_250201_001_00554_103_001_1004	T1_S2_KS0397	T1_S2_KS0397
100_005_250201_001_00555_103_001_1004	ED1_p2b1B1	ED1_p2b1B1
100_005_250201_001_00556_103_001_1004	T1_S2_KS0399	T1_S2_KS0399
100_005_250201_001_00557_103_001_1004	T1_S2_KS0400	T1_S2_KS0400
100_005_250201_001_00558_103_001_1004	ED1_p2b1E1	ED1_p2b1E1
100_005_250201_001_00559_103_001_1004	T1_S2_KS0402	T1_S2_KS0402
100_005_250201_001_00560_103_001_1004	T1_S2_KS0403	T1_S2_KS0403
100_005_250201_001_00561_103_001_1004	T1_S2_KS0404	T1_S2_KS0404
100_005_250201_001_00562_103_001_1004	T1_S3_KS0405	T1_S3_KS0405
100_005_250201_001_00563_103_001_1004	T1_S2_KS0406	T1_S2_KS0406
100_005_250201_001_00564_103_001_1004	T1_S2_KS0407	T1_S2_KS0407
100_005_250201_001_00565_103_001_1004	T1_S3_KS0408	T1_S3_KS0408
100_005_250201_001_00566_103_001_1004	T1_S2_KS0409	T1_S2_KS0409
100_005_250201_001_00567_103_001_1004	ED4_p2b1F2	ED4_p2b1F2
100_005_250201_001_00568_103_001_1004	ED1_p2b1G2	ED1_p2b1G2
100_005_250201_001_00569_103_001_1004	T1_S2_KS0412	T1_S2_KS0412
100_005_250201_001_00570_103_001_1004	T1_S2_KS0413	T1_S2_KS0413
100_005_250201_001_00571_103_001_1004	T1_S2_KS0414	T1_S2_KS0414
100_005_250201_001_00572_103_001_1004	T1_S2_KS0415	T1_S2_KS0415
100_005_250201_001_00573_103_001_1004	T1_S3_KS0416	T1_S3_KS0416
100_005_250201_001_00574_103_001_1004	T1_S2_KS0417	T1_S2_KS0417
100_005_250201_001_00575_103_001_1004	T1_S2_KS0418	T1_S2_KS0418
100_005_250201_001_00576_103_001_1004	T1_S2_KS0419	T1_S2_KS0419
100_005_250201_001_00577_103_001_1004	T1_S2_KS0420	T1_S2_KS0420
100_005_250201_001_00578_103_001_1004	ED1_p2b1A4	ED1_p2b1A4
100_005_250201_001_00579_103_001_1004	T1_S2_KS0422	T1_S2_KS0422
100_005_250201_001_00580_103_001_1004	T1_S2_KS0423	T1_S2_KS0423
100_005_250201_001_00581_103_001_1004	T1_S3_KS0424	T1_S3_KS0424
100_005_250201_001_00582_103_001_1004	T1_S2_KS0425	T1_S2_KS0425
100_005_250201_001_00583_103_001_1004	T1_S2_KS0426	T1_S2_KS0426
100_005_250201_001_00584_103_001_1004	T1_S2_KS0427	T1_S2_KS0427
100_005_250201_001_00585_103_001_1004	ED1_p2b1H4	ED1_p2b1H4
100_005_250201_001_00586_103_001_1004	T1_S2_KS0429	T1_S2_KS0429
100_005_250201_001_00587_103_001_1004	T1_S3_KS0430	T1_S3_KS0430
100_005_250201_001_00588_103_001_1004	T1_S2_KS0431	T1_S2_KS0431
100_005_250201_001_00589_103_001_1004	T1_S2_KS0432	T1_S2_KS0432
100_005_250201_001_00590_103_001_1004	T1_S2_KS0433	T1_S2_KS0433
100_005_250201_001_00591_103_001_1004	T1_S2_KS0434	T1_S2_KS0434
100_005_250201_001_00592_103_001_1004	T1_S2_KS0435	T1_S2_KS0435
100_005_250201_001_00593_103_001_1004	T1_S2_KS0436	T1_S2_KS0436
100_005_250201_001_00594_103_001_1004	T1_S2_KS0437	T1_S2_KS0437
100_005_250201_001_00595_103_001_1004	T1_S3_KS0438	T1_S3_KS0438
100_005_250201_001_00596_103_001_1004	T1_S3_KS0439	T1_S3_KS0439
100_005_250201_001_00597_103_001_1004	T1_S2_KS0440	T1_S2_KS0440
100_005_250201_001_00598_103_001_1004	T1_S2_KS0441	T1_S2_KS0441
100_005_250201_001_00599_103_001_1004	T1_S3_KS0442	T1_S3_KS0442
100_005_250201_001_00600_103_001_1004	T1_S2_KS0443	T1_S2_KS0443
100_005_250201_001_00601_103_001_1004	T1_S2_KS0444	T1_S2_KS0444
100_005_250201_001_00602_103_001_1004	T1_S2_KS0445	T1_S2_KS0445
100_005_250201_001_00603_103_001_1004	T1_S3_KS0446	T1_S3_KS0446
100_005_250201_001_00604_103_001_1004	T1_S2_KS0447	T1_S2_KS0447
100_005_250201_001_00605_103_001_1004	T1_S2_KS0448	T1_S2_KS0448
100_005_250201_001_00606_103_001_1004	T1_S2_KS0449	T1_S2_KS0449
100_005_250201_001_00607_103_001_1004	T1_S2_KS0450	T1_S2_KS0450
100_005_250201_001_00608_103_001_1004	T1_S3_KS0451	T1_S3_KS0451
100_005_250201_001_00609_103_001_1004	T1_S2_KS0452	T1_S2_KS0452
100_005_250201_001_00610_103_001_1004	T1_S3_KS0453	T1_S3_KS0453
100_005_250201_001_00611_103_001_1004	T1_S3_KS0454	T1_S3_KS0454
100_005_250201_001_00612_103_001_1004	T1_S2_KS0455	T1_S2_KS0455
100_005_250201_001_00613_103_001_1004	T1_S2_KS0456	T1_S2_KS0456
100_005_250201_001_00614_103_001_1004	T1_S3_KS0457	T1_S3_KS0457
100_005_250201_001_00615_103_001_1004	T1_S3_KS0458	T1_S3_KS0458
100_005_250201_001_00616_103_001_1004	T1_S2_KS0459	T1_S2_KS0459
100_005_250201_001_00617_103_001_1004	T1_S3_KS0460	T1_S3_KS0460
100_005_250201_001_00618_103_001_1004	EB_p2b1A9	EB_p2b1A9
